iter	Passed	Remaining
0	51	51497
1	52	26330
2	53	17901
3	54	13688
4	56	11181
5	57	9526
6	58	8354
7	60	7488
8	61	6787
9	62	6227
10	64	5770
11	65	5384
12	66	5051
13	67	4767
14	68	4523
15	70	4309
16	71	4141
17	72	3967
18	73	3815
19	75	3693
20	76	3579
21	78	3478
22	79	3377
23	80	3291
24	82	3202
25	83	3115
26	84	3034
27	85	2958
28	86	2887
29	87	2823
30	88	2762
31	89	2713
32	90	2661
33	92	2614
34	93	2572
35	94	2537
36	96	2499
37	97	2457
38	98	2417
39	99	2380
40	100	2342
41	101	2305
42	102	2272
43	103	2240
44	104	2213
45	105	2190
46	106	2166
47	107	2140
48	109	2117
49	110	2094
50	111	2071
51	112	2048
52	113	2026
53	114	2005
54	115	1989
55	116	1968
56	117	1950
57	119	1935
58	120	1919
59	121	1904
60	122	1888
61	123	1873
62	124	1857
63	126	1845
64	127	1829
65	128	1815
66	129	1800
67	130	1786
68	131	1773
69	132	1765
70	134	1754
71	135	1741
72	136	1731
73	137	1720
74	138	1707
75	139	1695
76	140	1682
77	141	1671
78	142	1660
79	143	1649
80	144	1638
81	145	1626
82	145	1611
83	146	1601
84	147	1592
85	148	1583
86	151	1588
87	152	1583
88	153	1571
89	154	1562
90	155	1553
91	156	1544
92	157	1535
93	158	1528
94	159	1519
95	160	1513
96	161	1505
97	162	1499
98	163	1489
99	164	1484
100	166	1478
101	167	1474
102	168	1469
103	169	1463
104	170	1456
105	172	1450
106	173	1445
107	174	1439
108	175	1433
109	176	1429
110	177	1425
111	179	1420
112	180	1414
113	181	1408
114	182	1403
115	183	1398
116	184	1390
117	185	1385
118	186	1379
119	187	1372
120	188	1367
121	188	1359
122	189	1352
123	190	1346
124	191	1341
125	192	1335
126	193	1328
127	194	1322
128	195	1316
129	195	1309
130	196	1302
131	196	1295
132	197	1288
133	198	1282
134	199	1275
135	199	1270
136	200	1264
137	201	1259
138	202	1254
139	203	1249
140	204	1245
141	205	1239
142	206	1235
143	207	1231
144	208	1226
145	209	1222
146	209	1218
147	210	1213
148	211	1208
149	212	1204
150	213	1200
151	214	1195
152	214	1190
153	215	1186
154	216	1181
155	217	1176
156	218	1171
157	218	1166
158	219	1162
159	220	1159
160	221	1154
161	222	1150
162	223	1147
163	224	1143
164	225	1139
165	226	1135
166	227	1132
167	227	1127
168	228	1123
169	229	1119
170	230	1115
171	230	1111
172	231	1107
173	232	1103
174	233	1098
175	233	1094
176	234	1091
177	235	1088
178	236	1085
179	237	1082
180	238	1079
181	239	1076
182	240	1073
183	241	1069
184	241	1064
185	242	1061
186	243	1057
187	244	1054
188	245	1051
189	245	1048
190	246	1045
191	247	1041
192	248	1038
193	249	1035
194	250	1033
195	251	1030
196	252	1028
197	253	1025
198	254	1023
199	255	1020
200	255	1016
201	256	1013
202	257	1010
203	258	1007
204	258	1004
205	259	1000
206	260	997
207	261	993
208	261	990
209	262	987
210	262	983
211	263	979
212	264	976
213	265	973
214	265	970
215	266	966
216	266	963
217	267	959
218	268	956
219	268	952
220	269	949
221	269	945
222	270	942
223	270	938
224	271	934
225	271	931
226	272	927
227	272	923
228	273	919
229	273	915
230	273	912
231	274	908
232	274	904
233	275	901
234	275	897
235	276	893
236	276	890
237	276	886
238	277	883
239	277	879
240	278	876
241	278	872
242	279	869
243	279	866
244	279	862
245	280	859
246	280	856
247	281	853
248	281	850
249	282	847
250	282	843
251	283	840
252	283	837
253	284	834
254	284	831
255	284	828
256	285	825
257	285	822
258	286	818
259	286	815
260	286	812
261	287	809
262	287	806
263	288	803
264	288	800
265	288	797
266	289	794
267	289	791
268	290	788
269	290	785
270	290	782
271	291	779
272	291	776
273	292	773
274	292	771
275	292	768
276	293	765
277	293	762
278	294	759
279	294	757
280	295	754
281	295	752
282	295	749
283	296	747
284	296	744
285	297	742
286	297	739
287	298	737
288	298	734
289	299	732
290	299	729
291	299	727
292	300	724
293	300	722
294	301	719
295	301	717
296	301	714
297	302	712
298	302	709
299	303	707
300	303	704
301	303	702
302	304	699
303	304	697
304	305	695
305	305	692
306	305	690
307	306	687
308	306	685
309	306	683
310	307	680
311	307	678
312	308	676
313	308	674
314	308	671
315	309	669
316	309	667
317	310	665
318	310	663
319	311	661
320	311	658
321	311	656
322	312	654
323	312	652
324	313	650
325	313	648
326	314	646
327	314	644
328	314	642
329	315	640
330	315	638
331	316	636
332	316	634
333	317	632
334	317	630
335	317	627
336	318	625
337	318	623
338	318	621
339	319	619
340	319	617
341	320	615
342	320	613
343	320	611
344	321	609
345	321	608
346	322	606
347	322	604
348	322	602
349	323	600
350	323	598
351	324	596
352	324	594
353	324	592
354	325	590
355	325	589
356	326	587
357	326	585
358	326	583
359	327	582
360	327	580
361	328	578
362	328	576
363	328	574
364	329	573
365	329	571
366	330	569
367	330	567
368	331	566
369	331	564
370	331	562
371	332	561
372	332	559
373	333	557
374	333	555
375	333	554
376	334	552
377	334	550
378	335	548
379	335	547
380	335	545
381	336	543
382	336	542
383	336	540
384	337	538
385	337	537
386	338	535
387	338	533
388	338	532
389	339	530
390	339	529
391	340	527
392	340	526
393	341	524
394	341	523
395	341	521
396	342	519
397	342	518
398	343	516
399	343	515
400	343	513
401	344	512
402	344	510
403	345	509
404	345	507
405	346	506
406	346	504
407	346	503
408	347	501
409	347	500
410	348	498
411	348	497
412	348	495
413	349	494
414	349	493
415	350	491
416	350	490
417	350	488
418	351	487
419	351	485
420	352	484
421	352	482
422	352	481
423	353	479
424	353	478
425	354	477
426	354	475
427	354	474
428	355	472
429	355	471
430	355	469
431	356	468
432	356	467
433	357	465
434	357	464
435	358	463
436	358	461
437	359	460
438	359	459
439	359	457
440	360	456
441	360	455
442	361	454
443	361	452
444	362	451
445	362	450
446	362	448
447	363	447
448	363	446
449	364	444
450	364	443
451	364	442
452	365	440
453	365	439
454	365	438
455	366	437
456	366	435
457	367	434
458	367	433
459	367	431
460	368	430
461	368	429
462	369	428
463	369	426
464	369	425
465	370	424
466	370	423
467	371	421
468	371	420
469	372	419
470	372	418
471	372	417
472	373	415
473	373	414
474	374	413
475	374	412
476	374	411
477	375	409
478	375	408
479	376	407
480	376	406
481	377	405
482	377	403
483	377	402
484	378	401
485	378	400
486	378	399
487	379	398
488	379	396
489	380	395
490	380	394
491	380	393
492	381	392
493	381	390
494	382	389
495	382	388
496	382	387
497	383	386
498	383	385
499	383	383
500	384	382
501	384	381
502	385	380
503	385	379
504	385	378
505	386	377
506	386	375
507	386	374
508	387	373
509	387	372
510	388	371
511	388	370
512	389	369
513	389	368
514	390	367
515	390	366
516	390	365
517	391	363
518	391	362
519	391	361
520	392	360
521	392	359
522	393	358
523	393	357
524	393	356
525	394	355
526	394	354
527	395	353
528	395	352
529	395	351
530	396	349
531	396	348
532	397	347
533	397	346
534	397	345
535	398	344
536	398	343
537	398	342
538	399	341
539	399	340
540	400	339
541	400	338
542	400	337
543	401	336
544	401	335
545	402	334
546	402	333
547	402	332
548	403	331
549	403	330
550	404	329
551	404	328
552	404	327
553	405	326
554	405	325
555	406	324
556	406	323
557	406	322
558	407	321
559	407	320
560	408	319
561	408	318
562	408	317
563	409	316
564	409	315
565	410	314
566	410	313
567	410	312
568	411	311
569	411	310
570	412	309
571	412	308
572	412	307
573	413	306
574	413	305
575	414	304
576	414	303
577	414	302
578	415	301
579	415	300
580	416	300
581	416	299
582	416	298
583	417	297
584	417	296
585	418	295
586	418	294
587	418	293
588	419	292
589	419	291
590	420	290
591	420	289
592	420	288
593	421	287
594	421	287
595	422	286
596	422	285
597	422	284
598	423	283
599	423	282
600	424	281
601	424	280
602	424	279
603	425	278
604	425	277
605	426	277
606	426	276
607	426	275
608	427	274
609	427	273
610	428	272
611	428	271
612	428	270
613	429	269
614	429	268
615	430	268
616	430	267
617	430	266
618	431	265
619	431	264
620	431	263
621	432	262
622	432	261
623	433	260
624	433	260
625	434	259
626	434	258
627	434	257
628	435	256
629	435	255
630	436	255
631	436	254
632	436	253
633	437	252
634	437	251
635	438	250
636	438	249
637	439	249
638	439	248
639	439	247
640	440	246
641	440	245
642	441	244
643	441	244
644	441	243
645	442	242
646	442	241
647	443	240
648	443	239
649	444	239
